Road Name,Carriageway Start Name,Carriageway End Name,Description (location of traffic count),Direction,Count Start Date,5 Day ADT,7 Day ADT,Saturday Volume,Sunday Volume,AM Peak Volume,AM Peak Hour,Mid Peak Volume,Mid Peak Hour,PM Peak Volume,PM Peak Hour,Car,LCV,MCV,HCV-I,HCV-II,HCV Total
LUANDA DR,URLICH DR (SOUTH),URLICH DR (NORTH),E1742479  N5919232,Both,2018/7/25,1220,1145,1055,857,129,,112,945,139,,92%,1%,4%,3%,0%,6%
MAKORA RD,CHLOE PL,HELLEUR RD,E1744309  N5922266,Both,2018/7/27,8466,7680,5802,5630,685,,526,,996,,93%,0%,4%,2%,0%,6%
MCLEOD RD (TE ATATU),FINLOW DR,WIDTH CHANGE,E1747313  N5917605,Both,2018/7/25,3187,3032,3131,2156,305,,331,,363,,93%,0%,3%,2%,0%,5%
MCLEOD RD (TE ATATU),SHEEHAN RD,BORDEAUX PDE,E1746603  N5917583,Both,2018/7/25,4341,4198,4245,3438,382,,405,,415,,97%,0%,1%,0%,0%,2%
METCALFE RD,JILLIAN DR,WIDTH CHANGE (END K&C LHS),E1742929  N5918261,Both,2018/7/25,5492,5329,5300,4545,478,,419,,516,,94%,0%,3%,2%,0%,5%
METCALFE RD,RISERRA DR,MARTIN JUGUM LANE,E1743325  N5918746,Both,2018/7/25,14974,14458,14351,11986,1371,,1141,,1290,,95%,0%,4%,1%,0%,4%
METCALFE RD,SWANSON RD RAB,RISERRA DR,E1743652  N5919131,Both,2018/7/25,16033,15508,15346,13040,1419,,1214,,1357,,96%,0%,3%,1%,0%,3%
MILLBROOK RD,VIEW RD,AWAROA RD,E1745544  N5915993,Both,2018/7/25,11556,11365,11903,9869,925,,1239,,1023,,97%,0%,2%,0%,0%,2%
MOIRE RD,OREIL AVE,ELIZABETH DR,E1744963  N5923561,Both,2018/7/27,7933,7420,6563,5714,798,,598,,800,,96%,0%,2%,1%,0%,3%
MOIRE RD 592 to 621 m,GRANVILLE DR,RUZE VIDA DR,E1744768  N5923024,Both,2018/7/27,9325,8937,9114,6824,1004,,878,,971,,92%,0%,4%,3%,0%,7%
MT ALBERT RD (SANDRINGHAM),HUNTINGTREE AVE,KIWITEA ST,E1754567  N5914844,Both,2018/7/30,14943,14451,14509,11937,1180,,1196,,1304,,96%,0%,3%,1%,0%,3%
MT ALBERT RD (THREE KINGS) (CWC),AKARANA AVE,PARAU ST,E1755591  N5914114,Both,2018/7/30,18427,17583,16838,14108,1490,,1419,,1563,,95%,0%,2%,1%,0%,3%
MT ALBERT RD (THREE KINGS) (CWC),FROST RD,MCCULLOUGH AVE,E1756055  N5913820,Both,2018/7/30,18142,16982,15485,12680,1673,,1467,,1727,,92%,0%,6%,0%,0%,7%
MT ALBERT RD (THREE KINGS) (CWC),HILLSBOROUGH RD (LIGHTPOLE LHS),BUCKLEY RD,E1757049  N5913738,Both,2018/8/2,28280,27085,26668,21527,2286,,2173,,2338,,89%,1%,5%,2%,1%,8%
MT ALBERT RD (THREE KINGS) (CWC),MT EDEN RD,ST ANDREWS RD,E1756746  N5913761,Both,2018/8/1,21753,20708,19990,16202,1778,,1693,,1875,,91%,1%,4%,3%,0%,7%
MT ALBERT RD (THREE KINGS) (CWC),PAH RD,CROWN ST,E1757794  N5913534,Both,2018/8/2,25808,24674,24089,19587,1927,,1947,,2187,,92%,1%,3%,2%,0%,5%
MT EDEN RD,GRAHAME BREED DR,MT ALBERT RD,E1756676  N5913865,Both,2018/7/31,15670,14986,14695,11856,1453,,1352,,1497,,78%,0%,18%,2%,0%,21%
MT EDEN RD,HUNTERS PARK DR,KINGSWAY,E1756743  N5914353,Both,2018/7/31,14890,14304,14202,11471,1257,,1278,,1349,,92%,0%,4%,2%,0%,7%
MUNROE RD,CHARLENNE CL,WESTGLEN PL,E1743332  N5918168,Both,2018/7/25,9077,8411,7268,6225,983,,608,,963,,95%,0%,3%,1%,0%,4%
NGAHUE DR,NORMAN LESSER DR,FLINT WAY,E1763584  N5916417,Both,2018/8/8,24114,23592,25220,19356,2024,,2510,,2213,,93%,1%,3%,2%,0%,5%
NGAIO ST (ORAKEI),COATES AVE,RAUTARA ST,E1762164  N5919080,Both,2018/8/7,325,307,292,231,55,,32,1200,59,1830,95%,0%,2%,1%,0%,3%
NGAPIPI RD,TAMAKI DR,PARITAI DR,E1761153  N5919715,Both,2018/8/10,14488,13967,12942,12386,1538,,1295,1200,1369,1830,93%,0%,4%,1%,0%,5%
NIHILL CRES,ATKIN AVE,AOTEA ST,E1762993  N5919964,Both,2018/8/7,1877,1778,1569,1494,360,,175,1200,229,1830,94%,0%,3%,1%,0%,4%
NORMAN LESSER DR,ISHERWOOD PL,TAITOKERAU WAY,E1763922  N5916986,Both,2018/8/7,2222,2158,2141,1856,222,,225,1200,279,1830,94%,0%,2%,3%,0%,5%
OAKDALE RD,RICHARDSON RD,KATHRYN AVE,E1755769  N5912126,Both,2018/7/26,2628,2544,2567,2101,224,,234,1200,307,1830,92%,0%,4%,3%,0%,7%
O'DONNELL AVE,PARKINSON AVE,RICHARDSON RD,E1753235  N5914950,Both,2018/7/30,2749,2637,2623,2090,372,,227,1200,259,1830,97%,0%,1%,1%,0%,2%
OHINERAU ST,GREEN LANE EAST (KERBLINE),AVICE ST,E1760280  N5916110,Both,2018/8/7,1939,1786,1673,1135,197,,164,,224,,96%,0%,2%,0%,0%,3%
OMAHU RD,DROMORNE RD,PLATINA ST,E1759639  N5916773,Both,2018/8/7,4816,4311,3441,2657,668,,397,,625,,96%,0%,2%,0%,0%,2%
OMAHU RD,LILLINGTON RD,MOTORWAY OVERBRIDGE (1ST ABUTMENT),E1759464  N5916487,Both,2018/8/7,6750,6148,5136,4154,928,,537,,795,,97%,0%,2%,1%,0%,2%
ORAKEI RD,KOMARU ST,BENSON RD,E1760796  N5917613,Both,2018/8/10,12971,12551,12076,10928,1335,,1011,,1126,,94%,0%,3%,1%,0%,4%
PAH RD (EPSOM),FERNLEIGH AVE,OAK ST,E1757705  N5913792,Both,2018/8/2,20545,19660,18505,16386,1495,,1417,,1612,,95%,1%,2%,1%,0%,4%
PALOMINO DR,SAN BERNADINO DR,BORDER RD (BRIDGE 1ST ABUTMENT),E1743870  N5916275,Both,2018/8/7,14902,13758,11892,9902,1477,,991,,1488,,94%,1%,3%,1%,0%,4%
PATTESON AVE,PALMER CRES,GODDEN CRES,E1763128  N5919288,Both,2018/8/10,5949,6129,6463,6695,401,,734,,769,,95%,0%,3%,1%,0%,4%
PEACH PDE,GREEN LANE EAST,ROTOMAHANA TCE,E1760713  N5916270,Both,2018/8/10,14379,13873,13853,11365,1018,,1122,,1163,,94%,0%,3%,2%,0%,5%
POOKS RD,HETHERINGTON RD,CANDIA RD RAB,E1741746  N5918563,Both,2018/8/10,3574,3219,2558,2109,435,,245,,419,,93%,1%,4%,1%,0%,5%
QUEENSTOWN RD,HENDRY AVE RAB,FREDERICK ST RAB,E1757360  N5912205,Both,2018/7/26,6288,5771,4973,3987,651,,469,,989,,97%,0%,1%,1%,0%,2%
RAILSIDE AVE,DORA ST,CRANWELL ST,E1745381  N5916744,Both,2018/8/28,13552,12678,11924,9061,979,,1116,,1138,,94%,0%,3%,2%,0%,6%
RAILSIDE AVE,VIEW RD RAB,BRUCE MCLAREN RD,E1745394  N5916265,Both,2018/8/7,14822,13742,12318,9766,1168,,1196,,1379,,94%,0%,3%,1%,0%,5%
RATHGAR RD,TI NANA CRES,EDWARDS AVE,E1744470  N5918461,Both,2018/8/7,7601,7034,6136,5095,1011,,549,,821,,96%,0%,2%,1%,0%,3%
RED HILLS RD,DON BUCK RD RAB,BIRDWOOD RD,E1742463  N5922005,Both,2018/8/7,8106,7666,6892,6243,873,,621,,870,,94%,1%,4%,1%,0%,4%
REMUERA RD (CWCE),COTTER AVE,ASCOT AVE,E1760584  N5916801,Both,2018/8/8,19409,17952,16058,12561,1709,,1525,,1699,,93%,1%,2%,2%,0%,4%
REMUERA RD (CWCE),ENTRICAN AVE,GREENLANE EAST (LIGHTPOLE LHS),E1761081  N5916681,Both,2018/8/28,17135,15518,13046,9908,1780,,1236,,1615,,93%,0%,3%,2%,0%,5%
REMUERA RD (CWCE),RANUI RD,WAIRUA RD,E1760849  N5916748,Both,2018/8/8,17917,16380,14138,10933,1870,,1341,,1641,,93%,1%,2%,2%,0%,5%
REMUERA RD (CWCE),STONEYROYD GARDENS,WAIATARUA RD,E1762334  N5916941,Both,2018/8/8,24056,23359,23536,19699,1998,,1924,,2096,,94%,0%,3%,1%,0%,4%
REMUERA RD (CWCE),UPLAND RD,LUCERNE RD,E1761525  N5916882,Both,2018/8/8,22553,22132,22666,19492,1704,,1767,,1835,,93%,0%,2%,2%,0%,5%
RICHARDSON RD (MT ROSKILL),GLASS RD,MCKINNON ST,E1755139  N5912214,Both,2018/7/30,8946,8647,8806,6990,900,,754,,816,,95%,0%,3%,2%,0%,4%
RICHARDSON RD (OWAIRAKA),MAIORO ST (LHS),LABURNUM RD,E1753371  N5914207,Both,2018/7/30,15075,14730,14958,12777,1185,,1125,,1313,,97%,0%,1%,1%,0%,2%
RICHARDSON RD (OWAIRAKA),MALCOLM ST,JOHN DAVIS RD,E1753571  N5913925,Both,2018/8/1,13334,13027,13239,11284,1130,,999,,1123,,97%,0%,1%,1%,0%,2%
RICHARDSON RD (OWAIRAKA),MCALISTER PL,MAY RD,E1754076  N5913217,Both,2018/8/1,19131,18180,17215,14392,1660,,1356,,1873,,95%,0%,3%,1%,0%,4%
RICHARDSON RD (OWAIRAKA),VALONIA ST,NETHERTON ST,E1753212  N5914565,Both,2018/7/31,8828,8555,8708,7035,946,,749,,809,,94%,0%,1%,4%,0%,5%
RIDDELL RD,CHELMSFORD AVE,CLOUSTON ST,E1767668  N5919237,Both,2018/8/8,1892,1904,2090,1780,191,,197,,206,,90%,1%,5%,2%,0%,7%
ROYAL RD,GRANVILLE DR,SPARGO RD,E1745607  N5922645,Both,2018/8/7,3694,3638,3740,3256,330,,327,,339,,95%,0%,3%,0%,0%,4%
ROYAL RD,KEMP RD,LAWSON CREEK ST,E1743846  N5922639,Both,2018/8/7,7042,6796,6600,5758,709,,589,,682,,95%,1%,4%,1%,0%,4%
ROYAL RD,MOIRE RD,BENCHMARK DR,E1744681  N5922364,Both,2018/8/7,11504,11385,11748,10428,907,,909,,1048,,95%,0%,2%,1%,0%,3%
SCHOOL RD (WAITAKERE),VODANOVICH RD (LHS),CENTRAL PARK DR (END ISLAND RHS),E1745980  N5918725,Both,2018/8/7,9592,8953,8385,6327,839,,865,,894,,96%,0%,2%,1%,0%,3%
SEL PEACOCK DR,LINCOLN RD,BUSCOMB AVE (LHS),E1745152  N5917917,Both,2018/8/7,12800,12134,11154,9783,992,,1020,,1113,,96%,0%,2%,1%,0%,4%
SELWYN RD (EPSOM),THE DRIVE,BUCKLEY RD,E1757429  N5914573,Both,2018/7/26,6049,5691,5304,4290,666,,441,,556,,92%,0%,1%,3%,0%,4%
SEYMOUR RD (SUNNYVALE),SUNNYSIDE RD RAB,RANGEVIEW RD,E1745656  N5915334,Both,2018/8/7,12602,12337,12757,10595,1137,,1173,,1200,,96%,0%,2%,1%,0%,2%
SHORE RD,ARNEY RD,PORTLAND RD,E1760035  N5918638,Both,2018/8/8,18412,17212,15893,12532,1541,,1447,,1770,,97%,0%,1%,1%,0%,2%
SIMPSON RD,BABICH RD,LAKE PANORAMA DR,E1742416  N5917239,Both,2018/8/7,3017,2773,2298,2029,333,,212,,343,,92%,1%,5%,1%,0%,6%
SOMERSET RD,BRISTOL RD,FROST RD (HYDRANT RHS),E1755584  N5913290,Both,2018/7/30,7600,7024,6339,4833,800,,610,,759,,93%,0%,4%,2%,0%,6%
ST ANDREWS RD,QUENTIN AVE,SELWYN RD,E1757022  N5914478,Both,2018/7/30,5734,5200,4367,3365,630,,392,,695,,98%,0%,1%,0%,0%,1%
ST HELIERS BAY RD,APIRANA AVE,GLEN ATKINSON ST (EAST),E1764828  N5918214,Both,2018/8/8,20528,20320,21258,18341,1602,,1821,,1758,,94%,0%,3%,1%,0%,5%
ST HELIERS BAY RD,ST JOHNS RD,GLEN ATKINSON ST (WEST),E1764586  N5918164,Both,2018/8/10,25147,24587,24990,21383,1900,,2101,,2177,,94%,0%,3%,1%,0%,5%
ST HELIERS BAY RD,SUMMERHILL PL,RIDDELL RD,E1765745  N5918960,Both,2018/8/10,12597,12554,13429,11467,993,,1177,,1126,,92%,0%,3%,4%,0%,7%
ST JOHNS RD,DORCHESTER ST,TRUMAN ST,E1763606  N5917631,Both,2018/8/8,18480,18006,18316,15327,1534,,1587,,1720,,96%,0%,2%,1%,0%,3%
ST JOHNS RD,TRUMAN ST,COLLEGE RD RAB,E1863882  N5917554,Both,2018/8/8,19244,18759,19169,15922,1653,,1711,,1749,,95%,0%,2%,1%,0%,3%
STODDARD RD,MAIORO RD EXTN,DENIZE RD,E1753595  N5914613,Both,2018/8/1,15508,15051,15028,12786,1058,,1260,,1355,,95%,0%,3%,1%,0%,4%
STURGES RD,SPENCE RD,PALOMINO DR RAB,E1744075  N5917163,Both,2018/8/7,11749,11302,10946,9425,961,,871,,1112,,97%,0%,2%,1%,0%,2%
TAMAKI DR,BRIDGE (2ND ABUTMENT),BRIDGE (1ST ABUTMENT),E1760736  N5919910,Both,2018/8/13,27502,27225,28490,24571,2685,,2291,,2745,,87%,1%,2%,4%,2%,8%
TAMAKI DR,HAPIMANA ST (SUMP RHS),ATKIN AVE,E1762811  N5920773,Both,2018/8/8,15343,15911,17919,16745,1461,,1527,,1483,,91%,0%,4%,1%,0%,6%
TAMAKI DR,OKAHU ST,WATENE CRES,E1761769  N5920008,Both,2018/8/8,17816,18663,20888,20671,1741,,1871,,1978,,93%,0%,3%,2%,0%,4%
TAMAKI DR,PATTESON AVE,MARAU CRES,E1763433  N5920388,Both,2018/8/8,15598,15519,16378,14263,1291,,1347,,1447,,91%,0%,3%,2%,0%,5%
TAMAKI DR,THE PARADE,GOLDIE ST,E1765357  N5920051,Both,2018/8/8,12199,12152,12665,11405,1080,,1127,,1137,,92%,0%,2%,2%,0%,5%
TAUTARI ST,PAERIMU ST,APIHAI ST (LIGHTPOLE LHS),E1762092  N5919493,Both,2018/8/7,234,236,259,223,41,,27,1045,32,,94%,0%,3%,1%,0%,3%
UPLAND RD (REMUERA),DELL AVE,TONKS ST,E1761181  N5918187,Both,2018/8/8,8533,7845,6747,5499,938,,666,1045,946,,96%,0%,2%,0%,0%,2%
UPLAND RD (REMUERA),REMUERA RD,VENTNOR RD,E1761286  N5917062,Both,2018/8/8,4188,3876,3320,2871,472,,335,1045,512,,87%,0%,10%,1%,0%,11%
VICTORIA AVE (REMUERA),SONIA AVE,SHORE RD,E1760459  N5918456,Both,2018/8/8,6219,5665,4867,3695,787,,495,1045,689,,94%,0%,3%,1%,0%,4%
WARREN AVE,MT ALBERT RD,HAYR RD,E1756595  N5913588,Both,2018/7/31,10003,9481,9195,7158,929,,888,1045,1091,,93%,0%,4%,2%,0%,5%
WHITE SWAN RD,KIMBER HALL AVE,GRIFFEN PARK RD (POWERPOLE LHS),E1753231  N5912732,Both,2018/7/31,14552,13970,13921,11108,1336,,1198,1045,1316,,87%,0%,2%,3%,0%,5%
WHITE SWAN RD,WIDTH CHANGE (POWERPOLE LHS),PASCOE ST,E1753680  N5913223,Both,2018/7/30,16649,15823,15284,12235,1508,,1238,1045,1579,,95%,0%,2%,1%,0%,3%
RAILSIDE AVE,STEVIES LANE,EDSEL ST,E1745371  N5917076,Both,2018/8/7,12467,11862,11135,9563,923,,1101,,1048,,93%,0%,3%,2%,0%,6%
RONAKI RD (MISSION BAY),CULLWICK RD,MARAU CRES,E1763466  N5920146,Both,2018/8/7,666,697,660,884,79,,119,,129,,91%,0%,6%,1%,0%,7%
STURGES RD,SWANSON RD (RHS),VINTAGE DR,E1744567  N5917799,Both,2018/8/7,18091,17460,16815,14951,1420,,1307,,1654,,96%,0%,2%,1%,0%,3%
ALBANY EXPRESSWAY,COLISEUM DR,ALBANY HIGHWAY,E1751767  N5933894,Both,2018/8/2,21814,20735,19428,16648,1797,,1727,,1822,,90%,1%,4%,3%,1%,7%
ALBANY EXPRESSWAY,GILLS RD,THE AVENUE,E1751125  N5934544,Both,2018/8/3,21166,20043,18964,15511,1604,,1710,,1895,,94%,1%,3%,1%,0%,5%
ALBANY EXPRESSWAY,TAWA DR,BUSH RD,E1752684  N5933240,Both,2018/8/2,29190,28435,28424,24675,2037,,2707,,2487,,92%,1%,2%,2%,1%,6%
ALBANY HIGHWAY (ALBANY),AMCOR DRIVEWAY,WIDTH CHANGE,E1751489  N5931194,Both,2018/7/24,17150,16037,14853,11656,1516,,1405,,1724,,93%,1%,2%,2%,1%,5%
ALBANY HIGHWAY (ALBANY),ROSEDALE RD,BASS RD,E1751107  N5932573,Both,2018/7/25,19520,17956,15770,12324,2220,,1490,,1879,,93%,1%,2%,2%,1%,5%
ALBANY HIGHWAY (ALBANY),RURAL-URBAN (70KM SIGN),STATE HIGHWAY 17,E1751200  N5933455,Both,2018/7/26,20303,18621,15983,12850,2079,,1492,,1949,,93%,1%,2%,2%,1%,5%
ALBANY HIGHWAY (ALBANY),SCHNAPPER ROCK RD NORTH,APPLEBY RD,E1751209  N5931652,Both,2018/7/25,20086,18847,17608,13896,1846,,1626,,2214,,94%,1%,2%,2%,1%,4%
ALBANY HIGHWAY (ALBANY),SCHNAPPER ROCK RD SOUTH,AMCOR DRIVEWAY,E1751776  N5930940,Both,2018/7/24,21627,19608,16351,12770,1798,,1574,,2004,,92%,1%,2%,2%,1%,6%
APOLLO DR,CONSTELLATION DR,ANTARES PL R-A,E1754881  N5931963,Both,2018/7/26,21047,18372,13221,10148,2033,,1549,,1803,,95%,0%,3%,1%,0%,4%
AWANOHI RD,EAST COAST RD,ALPURT BRIDGE,E1751861  N5938904,Both,2018/7/21,1161,1070,951,734,148,,96,,145,,92%,1%,5%,2%,0%,6%
BAWDEN RD (RURAL),OREGON PARK,TOP RD,E1748522  N5940251,Both,2018/7/31,786,726,647,500,100,,71,,97,,90%,2%,3%,4%,0%,7%
BUSH RD (ALBANY),BRIDGE (1ST ABUTMENT),ROSEDALE RD,E1752134  N5932842,Both,2018/8/4,18320,16313,12242,10349,1779,,1451,,1708,,95%,0%,2%,2%,0%,4%
BUSH RD (ALBANY),CEBEL PL,ROSEDALE PARK RD,E1752347  N5931533,Both,2018/8/4,19829,17436,13366,9543,2212,,1539,,1553,,86%,0%,2%,4%,1%,7%
DUCK CREEK RD (STILLWATER),BRIDGE,MESSENGER RD,E1752553  N5944111,Both,2018/7/28,1953,1858,1810,1433,196,,180,,214,,94%,1%,4%,0%,0%,4%
DUCK CREEK RD (STILLWATER),SPUR RD,BRIDGE,E1751096  N5944445,Both,2018/7/28,2169,2055,1978,1562,209,,196,,228,,95%,1%,3%,0%,0%,3%
DUREY RD,AWANOHI RD,S HWAY 17,E1749190  N5938303,Both,2018/7/21,1007,911,781,557,130,,99,,125,,93%,1%,3%,2%,0%,4%
EAST COAST RD (SILVERDALE-REDVALE),LANE CHANGE (3 TO 2),BAWDEN RD,E1750970  N5940033,Both,2018/7/27,9393,8468,6657,5658,1019,,670,,1176,,87%,1%,5%,5%,1%,12%
EAST COAST RD (SILVERDALE-REDVALE),LANE CHANGE (3 TO 2),OKURA RD,E1753348  N5937322,Both,2018/7/27,11435,10331,8288,6858,1234,,803,,1371,,88%,1%,5%,4%,1%,10%
LIBRARY LANE,STATE HIGHWAY 17,ALBANY HIGHWAY,E1751534  N5933999,Both,2018/8/3,2321,2031,1589,1021,176,,168,,472,,94%,0%,4%,0%,0%,4%
O'BRIEN RD (ALBANY HEIGHTS),COATESVILLE RIVERHEAD HWAY,RIDGE RD,E1748824  N5935569,Both,2018/8/8,1328,1310,1321,1211,128,,146,,141,,90%,2%,4%,1%,0%,5%
OTEHA VALLEY RD,EAST COAST RD,MAYFAIR VILLAGE,E1754229  N5935932,Both,2018/8/14,29497,28902,29987,24840,2072,,2566,,2634,,85%,1%,4%,5%,1%,10%
OTEHA VALLEY RD,FIELDS PDE,MEDALLION DR,E1753406  N5935339,Both,2018/8/15,32457,31907,33432,27628,2283,,2786,,2792,,91%,1%,2%,3%,1%,6%
OTEHA VALLEY RD,MAYFAIR VILLAGE,HARROWGLEN DR,E1754140  N5935882,Both,2018/8/14,28840,28356,29706,24586,2038,,2570,,2528,,90%,1%,3%,3%,1%,7%
OTEHA VALLEY RD,MEDALLION DR,FAIRVIEW AVE,E1753171  N5935179,Both,2018/8/15,36857,36209,37461,31719,2787,,3044,,2987,,90%,1%,3%,3%,1%,7%
OTEHA VALLEY RD,ON-OFF RAMP (WEST),CORNERSTONE DR,E1752860  N5934908,Both,2018/8/11,30894,29707,28478,25001,2616,,2755,,2797,,91%,2%,3%,3%,1%,6%
OTEHA VALLEY RD,ROAD NARROWS (SEAL JOIN),MILLS LANE,E1752384  N5934635,Both,2018/8/11,24649,24053,23917,21205,2025,,2444,,2266,,92%,1%,3%,2%,0%,5%
PAREMOREMO RD,ELMORE RD,HARDENS LANE,E1748710  N5931252,Both,2018/8/3,3584,3352,3033,2514,393,,308,,338,,93%,1%,4%,1%,0%,5%
PAUL MATTHEWS RD,OMEGA ST,SATURN PL,E1752680  N5931406,Both,2018/8/4,17599,14525,8160,5522,1862,,1398,,1535,,87%,1%,8%,2%,1%,12%
POSTMAN RD,DAIRY STREAM RD,WILKS RD,E1748039  N5942862,Both,2018/8/8,1263,1231,1165,1136,128,,120,,150,,88%,2%,7%,1%,0%,8%
POTTER RD,DAIRY FLAT HIGHWAY,SUNNYSIDE RD,E1748779  N5937187,Both,2018/8/8,1026,972,907,767,102,,82,,115,,91%,1%,5%,1%,0%,6%
SPUR RD,EAST COAST RD,DUCK CREEK RD 2,E1749391  N5943688,Both,2018/7/28,3498,3329,3218,2597,351,,301,,355,,93%,1%,5%,0%,0%,5%
THE AVENUE (ALBANY),START OF WALL (#107),URBAN-RURAL,E1750297  N5933957,Both,2018/8/3,4864,4602,4295,3601,474,,385,,446,,95%,1%,2%,1%,0%,3%
VAUGHANS RD,OKURA RIVER RD,WIDTH CHANGE,E1753639  N5938298,Both,2018/7/21,568,549,543,459,51,,65,,66,,92%,1%,3%,3%,0%,6%
EAST COAST RD (SILVERDALE-REDVALE),LANE CHANGE (3 TO 4),LANE CHANGE (4 TO 2),E1749567  N5945286,Both,2018/7/27,10454,9648,8326,6943,1017,,834,,1229,,90%,1%,5%,2%,0%,8%
ANDES AVE,KIWI ESP,MUIR AVE,E1757171  N5909959,Both,2018/7/24,236,257,340,281,35,,40,1400,36,,96%,0%,3%,0%,0%,3%
ASH RD,OAK RD,KERRS RD (FIRE HYDRANT RHS),E1766175  N5902752,Both,2018/8/17,6107,4835,2106,1199,527,,450,1400,665,,77%,1%,17%,3%,2%,21%
ASH RD,WIRI STATION RD,OAK RD,E1766013  N5903146,Both,2018/8/17,8250,6450,2588,1310,702,,665,1400,771,,74%,1%,18%,4%,2%,24%
ASHGROVE RD,BADER DR,ILFORD CRES,E1760713  N5906988,Both,2018/7/25,3282,3192,3306,2625,267,,251,1400,309,,98%,0%,2%,0%,0%,2%
BADER DR (EASTBOUND),ASHGROVE RD,MOTORWAY OVERBRIDGE (1ST ABUTMENT),E1760788  N5907149,Both,2018/7/25,25555,24732,26003,19349,2023,,2073,1400,2250,,95%,1%,4%,0%,0%,4%
BADER DR (EASTBOUND),COMET CRES,MOTORWAY OVERBRIDGE (1ST ABUTMENT),E1759846  N5907425,Both,2018/7/25,19222,18417,18788,14019,1703,,1478,1400,1928,,94%,1%,4%,1%,0%,5%
BADER DR (WESTBOUND),ASHGROVE RD,MASCOT AVE RAB,E1760628  N5907041,Both,2018/7/25,13427,13052,13997,10230,1296,,1173,1400,1245,,96%,0%,4%,0%,0%,4%
BEATTY AVE,MAICH RD,JELLICOE RD AT TEE LIGHTPOLE RHS,E1768247  N5901340,Both,2018/8/17,4101,3890,3512,3213,338,,339,1400,434,,95%,0%,4%,0%,0%,4%
BRIDGE ST,KENDERDINE RD (RHS),CAMBRIDGE TCE (LHS),E1765062  N5904823,Both,2018/8/9,17284,16089,14470,11732,1547,,1207,1400,1777,,95%,1%,3%,0%,0%,4%
BROWNS RD,DALGETY RD,GLOUCESTER RD,E1766938  N5901930,Both,2018/8/17,21911,20709,19507,15899,1714,,1475,1400,1578,,95%,1%,2%,1%,0%,4%
BROWNS RD,FEASEGATE ST,CHONNY CRES,E1765849  N5901478,Both,2018/8/17,14236,13364,12263,10107,1036,,987,1400,1168,,94%,1%,4%,1%,0%,5%
BROWNS RD,GREAT SOUTH RD,MAICH RD,E1768046  N5902368,Both,2018/8/17,14494,13524,12191,10008,1216,,943,1400,1340,,95%,1%,4%,0%,0%,4%
BROWNS RD,JELLICOE RD,MARR RD,E1767135  N5901999,Both,2018/8/17,15039,13788,11777,9541,1299,,1040,1400,1471,,96%,1%,3%,1%,0%,3%
BUCKLAND RD,ALLEN ST,MASSEY RD,E1762388  N5906999,Both,2018/7/27,11727,11538,12216,9915,950,,875,1400,1056,,95%,1%,3%,0%,0%,4%
CARRUTH RD,PUHINUI RD,FITZROY ST,E1766314  N5905328,Both,2018/8/9,16564,16117,16023,13978,1216,,1276,,1369,,95%,1%,3%,1%,0%,4%
CLAUDE AVE,PORTAGE RD,PARK AVE,E1763189  N5905866,Both,2018/8/7,7073,6428,5551,4076,888,,467,,911,,96%,0%,3%,0%,0%,4%
CORONATION RD (MANGERE),CHURCH RD RAB,BRIDGE CRT,E1759110  N5910248,Both,2018/7/24,3411,3472,3688,3564,249,,414,,323,,95%,1%,3%,0%,0%,3%
CORONATION RD (MANGERE),TANNERS RD,MOUNTAIN RD,E1759437  N5909152,Both,2018/7/24,10038,9798,10036,8360,757,,876,,1014,,95%,1%,4%,0%,0%,4%
CORONATION RD (PAPATOETOE),SHIRLEY RD RAB,WOOLFIELD RD (LHS),E1764574  N5906578,Both,2018/8/8,14685,13714,12049,10525,1069,,1003,,1221,,95%,1%,4%,0%,0%,4%
CRAWFORD AVE (SOUTH),MIRO RD (LHS),HASTIE AVE (LHS),E1759438  N5909833,Both,2018/7/24,1478,1377,1285,961,124,,119,,331,,97%,0%,2%,0%,0%,2%
DALGETY DR,BROWNS RD,KERRS RD,E1766784  N5902507,Both,2018/8/24,17185,15657,13058,10614,1241,,1145,,1538,,93%,1%,3%,1%,1%,5%
FAVONA RD,HARANIA AVE,FORBES RD,E1761152  N5909291,Both,2018/8/7,26575,24063,20626,14941,2003,,1876,,2263,,90%,1%,8%,1%,1%,9%
FAVONA RD,NORANA AVE,SAVILL DR,E1761878  N5909204,Both,2018/8/7,26036,23546,20021,14623,1984,,1844,,2210,,90%,1%,7%,1%,1%,9%
FERNDOWN AVE,CARINGBAH DR,NARADA PL,E1763454  N5905546,Both,2018/8/7,8175,7407,6151,4819,1053,,532,,1076,,96%,0%,4%,0%,0%,4%
FERNDOWN AVE,CHANTELLE PL,HILLCREST RD,E1763693  N5905299,Both,2018/8/7,7832,7146,6031,4830,1038,,510,,1012,,96%,0%,3%,0%,0%,4%
FINLAYSON AVE,BELLVILLE DR,WAI ITI PL,E1765378  N5900149,Both,2018/8/17,4136,3874,3538,2905,345,,291,,516,,95%,0%,5%,0%,0%,5%
FRIESIAN DR,NICOLA PL,WAYNE DR,E1761188  N5906393,Both,2018/7/25,4270,4169,4614,3222,329,,375,,369,,96%,0%,3%,0%,0%,4%
GADSBY RD,TUA PL,ENUAMANU RD,E1760806  N5908288,Both,2018/7/26,2770,2782,3103,2521,244,,252,,296,,98%,0%,2%,0%,0%,2%
